significance_rank,target_node,parent_edges,parent_edge_count,bootstrap_count,posterior,retained,accepted,accepted_order
1,odi3_desaturation_fraction,ahe_proxy_fraction->odi3_desaturation_fraction@lag1;odi3_desaturation_fraction->odi3_desaturation_fraction@lag1,2,97,0.97,True,True,1
2,flow_limited_effort_fraction,flow_limited_effort_fraction->flow_limited_effort_fraction@lag1,1,96,0.96,True,True,2
3,snoring_bout_fraction,snoring_bout_fraction->snoring_bout_fraction@lag1,1,72,0.72,True,True,3
4,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,1,71,0.71,True,True,4
5,pulse_activation_fraction,pulse_activation_fraction->pulse_activation_fraction@lag1,1,69,0.69,True,True,5
6,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1,1,46,0.46,True,True,6
7,snoring_bout_fraction,ahe_proxy_fraction->snoring_bout_fraction@lag0;snoring_bout_fraction->snoring_bout_fraction@lag1,2,24,0.24,True,True,7
8,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;snoring_bout_fraction->ahe_proxy_fraction@lag0,2,16,0.16,True,False,
9,pulse_activation_fraction,odi3_desaturation_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,2,13,0.13,True,True,9
10,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0,2,12,0.12,True,True,10
11,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0;odi3_desaturation_fraction->ahe_proxy_fraction@lag1,3,12,0.12,True,True,11
12,pulse_activation_fraction,ahe_proxy_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,2,8,0.08,False,False,
13,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;odi3_desaturation_fraction->ahe_proxy_fraction@lag1,2,7,0.07,False,False,
14,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag0;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,2,7,0.07,False,False,
15,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0;snoring_bout_fraction->ahe_proxy_fraction@lag0,3,6,0.06,False,False,
16,pulse_activation_fraction,ifl_proxy_breath_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,2,6,0.06,False,False,
17,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,2,5,0.05,False,False,
18,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag1,2,5,0.05,False,False,
19,flow_limited_effort_fraction,EMPTY,0,4,0.04,False,False,
20,snoring_bout_fraction,ifl_proxy_breath_fraction->snoring_bout_fraction@lag1;snoring_bout_fraction->snoring_bout_fraction@lag1,2,4,0.04,False,False,
21,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag0;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;odi3_desaturation_fraction->ifl_proxy_breath_fraction@lag1,3,3,0.03,False,False,
22,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;odi3_desaturation_fraction->ifl_proxy_breath_fraction@lag1,2,3,0.03,False,False,
23,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0,2,2,0.02,False,False,
24,odi3_desaturation_fraction,odi3_desaturation_fraction->odi3_desaturation_fraction@lag1,1,2,0.02,False,False,
25,pulse_activation_fraction,ahe_proxy_fraction->pulse_activation_fraction@lag1;ifl_proxy_breath_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,3,2,0.02,False,False,
26,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag1,2,1,0.01,False,False,
27,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag0;ahe_proxy_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag1,4,1,0.01,False,False,
28,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag0;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0,3,1,0.01,False,False,
29,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;pulse_activation_fraction->ifl_proxy_breath_fraction@lag1,2,1,0.01,False,False,
30,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0;snoring_bout_fraction->ifl_proxy_breath_fraction@lag1,3,1,0.01,False,False,
31,odi3_desaturation_fraction,ahe_proxy_fraction->odi3_desaturation_fraction@lag1;ifl_proxy_breath_fraction->odi3_desaturation_fraction@lag1;odi3_desaturation_fraction->odi3_desaturation_fraction@lag1,3,1,0.01,False,False,
32,pulse_activation_fraction,ahe_proxy_fraction->pulse_activation_fraction@lag1;ifl_proxy_breath_fraction->pulse_activation_fraction@lag1;odi3_desaturation_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,4,1,0.01,False,False,
33,pulse_activation_fraction,ifl_proxy_breath_fraction->pulse_activation_fraction@lag1;odi3_desaturation_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,3,1,0.01,False,False,
